# Huntsman Search Engine — OFAC SDN cryptocurrency address snapshot
# Source: U.S. Treasury OFAC Specially Designated Nationals (SDN) Advanced XML
#   https://sanctionslistservice.ofac.treas.gov/api/download/sdn_advanced.xml
# OFAC date of issue: 2026-06-05  |  Snapshot taken: 2026-06-06
# Public-domain U.S. Government data. Format: address<TAB>chain<TAB>sdn_name
# 780 unique sanctioned digital-currency addresses across 17 chains.
0x0330070FD38Ec3bB94F58FA55D40368271E9e54A	ETH	AMNOKGANG TECHNOLOGY DEVELOPMENT COMPANY 압록강기술개발회사 鸭绿江技术开发公司
0x038989cbb1710c72b9920dc4fa529158f463e72c	ETH	Ojeda Aviles Armando de Jesus
0x04DBA1194ee10112fE6C3207C0687DEf0e78baCf	ETH	Peijnenburg Alex Adrianus Martinus
0x08723392Ed15743cc38513C4925f5e6be5c17243	ETH	Lazarus Group
0x08b2eFdcdB8822EfE5ad0Eae55517cf5DC544251	ETH	Peijnenburg Alex Adrianus Martinus
0x0931cA4D13BB4ba75D9B7132AB690265D749a5E7	ETH	Cryptex
0x098B716B8Aaf21512996dC57EB0615e2383E2f96	ETH	Lazarus Group
0x0Ee5067b06776A89CcC7dC8Ee369984AD7Db5e06	ETH	Peijnenburg Alex Adrianus Martinus
0x12de548F79a50D2bd05481C8515C1eF5183666a9	ETH	Old Vector LLC
0x14779CEC0B117d5194c750C55Ea1f42086631964	ETH	Ojeda Aviles Armando de Jesus
0x175d44451403Edf28469dF03A9280c1197ADb92c	USDT	Gaza Now غزة الآن
0x1967d8af5bd86a497fb3dd7899a020e47560daaf	ETH	Grimm Matthew Simon
0x1999ef52700c34de7ec2b68a28aafb37db0c5ade	ETH	Magomedov Khadzhi Murat Dalgatovich
0x19F8f2B0915Daa12a3f5C9CF01dF9E24D53794F7	ETH	OKO DESIGN BUREAU ОКО Конструкторское Бюро
0x19aa5fe80d33a56d56c78e82ea5e50e5d80b4dff	USDT	SUEX OTC, S.R.O.
0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a	ETH	Secondeye Solution
0x21B8d56BDA776bbE68655A16895afd96F5534feD	ETH	Gaza Now غزة الآن
0x2f389ce8bd8ff92de3402ffce4691d17fc4f6535	USDT	SUEX OTC, S.R.O.
0x308ed4b7b49797e1a98d3818bff6fe5385410370	ETH	SUEX OTC, S.R.O.
0x32dA24Ca413F3E7B53145D4737e172C3bdF81e3e	ETH	Ojeda Aviles Armando de Jesus
0x35fB6f6DB4fb05e6A4cE86f2C93691425626d4b1	ETH	Lazarus Group
0x38735f03b30FbC022DdD06ABED01F0Ca823C6a94	USDT	Hanafin John Desmond
0x39D908dac893CBCB53Cc86e0ECc369aA4DeF1A29	ETH	Zimenkov Jonatan
0x3AD9dB589d201A710Ed237c829c7860Ba86510Fc	ETH	Task Force Rusich
0x3Cffd56B47B7b41c56258D9C7731ABaDc360E073	ETH	Lazarus Group
0x3cbded43efdaf0fc77b9c55f6fc9988fcc9b757d	ETH	SOUTHFRONT
0x3e37627dEAA754090fBFbb8bd226c1CE66D255e9	ETH	Lazarus Group
0x43fa21d92141BA9db43052492E0DeEE5aa5f0A93	ETH	Semenov Roman
0x48549a34ae37b12f6a30566245176994e17c6b4a	ETH	CHATEX
0x4F428c11Dc82388fa5136D636e613ad923Eb700B	ETH	Ojeda Aviles Armando de Jesus
